id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,clearance_head,clearance_body_part,possession_team_id,team_id,player_id,out,clearance_right_foot,clearance_aerial_won,clearance_left_foot,clearance_other,off_camera
04b74e76-6803-489d-9612-ce3b580fbcff,214,1,00:04:11.788,4,11,Clearance,8,England,From Keeper,Netherlands,Stefan de Vrij,Right Center Back,"[5.0, 44.6]",0.0,True,['c156ee23-191c-44cd-9e51-17466846e60e'],3942819,True,Head,768,941,7787,,,,,,
7e15d1f6-1765-4d30-b506-ebec617f04c2,389,1,00:10:32.460,10,32,Clearance,13,England,From Free Kick,Netherlands,Nathan Aké,Left Back,"[8.4, 41.1]",0.0,True,['2e915dce-685b-45b6-b69a-6884e33afbf7'],3942819,True,Head,768,941,3306,,,,,,
6a61751c-205d-46be-bd3f-402846ca41e0,406,1,00:11:35.737,11,35,Clearance,14,England,From Free Kick,Netherlands,Virgil van Dijk,Left Center Back,"[4.3, 46.0]",0.0,True,,3942819,,Right Foot,768,941,3669,True,True,,,,
66d86a66-1f88-4d5c-af67-f558daa8721b,613,1,00:21:19.514,21,19,Clearance,24,England,From Throw In,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[27.8, 58.1]",0.0,True,"['6706d5c9-a75a-467d-bb35-da3c33a0a4d9', '8d67663e-2548-4af4-acb3-b8dcdffbbb94']",3942819,True,Head,768,941,15503,,,True,,,
8d4a8463-3d38-4992-9982-19a0623449ef,668,1,00:22:30.413,22,30,Clearance,27,England,Regular Play,Netherlands,Denzel Dumfries,Right Back,"[3.3, 38.9]",0.0,True,,3942819,,Right Foot,768,941,8125,True,True,,,,
df0a7186-882d-4579-b2d7-fb29f1c7dbba,753,1,00:24:23.620,24,23,Clearance,30,England,Other,Netherlands,Virgil van Dijk,Left Center Back,"[17.1, 20.5]",0.0,True,,3942819,,Left Foot,768,941,3669,,,,True,,
20a7dce7-e0b3-46d8-aa8d-f04fd524cd67,2794,2,00:28:47.129,73,47,Clearance,93,Netherlands,From Goal Kick,England,Kyle Walker,Right Center Back,"[30.5, 60.2]",0.0,True,['06e6fabb-0d42-4433-9bf2-951857061f6e'],3942819,,Right Foot,941,768,3205,,True,,,,
91040d09-4210-4859-ad9c-ab43e9fa6b84,2899,2,00:31:02.344,76,2,Clearance,94,Netherlands,From Throw In,England,Declan Rice,Left Defensive Midfield,"[10.6, 42.4]",0.0,True,['e2e1ea4f-df6d-419f-b481-99ab9f04b8d9'],3942819,True,Head,941,768,3943,,,,,,
0e332f4f-2b09-44c1-85e8-2cc5ca44e984,2991,2,00:33:19.767,78,19,Clearance,96,England,From Throw In,Netherlands,Virgil van Dijk,Left Center Back,"[12.6, 40.9]",0.0,True,['f2610e5e-2f94-4cc0-8d75-f4e3c6dfb359'],3942819,True,Head,768,941,3669,,,,,,
29386916-ab39-404d-8ae2-eaeeff1e8cd2,3285,2,00:41:03.808,86,3,Clearance,105,Netherlands,From Free Kick,England,John Stones,Center Back,"[8.8, 32.5]",0.0,True,"['5a06cc95-17aa-42bf-a1b4-8e6c236b5fff', '81d5432d-d93c-4d69-a93f-ef7856c2a6f5']",3942819,True,Head,941,768,3244,True,,True,,,
b2bdad4f-2fa4-4746-b2c2-8c6fc292053b,3413,2,00:48:17.839,93,17,Clearance,110,Netherlands,From Kick Off,England,Declan Rice,Right Defensive Midfield,"[28.7, 49.4]",0.0,True,"['82cd3a6b-0cb4-4114-b673-792a4bc75ae7', 'd7f0df67-2726-4c3c-9472-3a91f8f61e09']",3942819,True,Head,941,768,3943,,,True,,,
f20ca73d-06d1-4e7e-825e-a972872e724c,3483,2,00:50:04.434,95,4,Clearance,114,England,From Free Kick,Netherlands,Stefan de Vrij,Right Center Back,"[8.8, 68.4]",0.0,True,['3f66d126-3154-4adc-a39b-f5d2f80522ba'],3942819,,Right Foot,768,941,7787,True,True,,,,
d2dd9ee1-16ac-49d0-ab09-0dfb7f7e0a4a,153,1,00:03:20.262,3,20,Clearance,8,England,Regular Play,Spain,Aymeric Laporte,Left Center Back,"[61.6, 26.5]",0.0,True,"['0015c4b8-8f3c-468c-a5b7-ae19f252531f', 'c4709aef-8bd9-46a5-a125-de05469a6267']",3943043,True,Head,768,772,4353,,,True,,,
6baaf569-f65f-45f2-b73d-eb801dcd508e,200,1,00:04:12.018,4,12,Clearance,9,Spain,Regular Play,England,John Stones,Right Center Back,"[8.5, 40.8]",0.0,True,"['1f900d7c-eb9a-4130-8368-7ec4c4fd98aa', 'eb4f54c2-b9c3-46d9-a790-f1a64cc08cd6']",3943043,True,Head,772,768,3244,,,True,,,
d6520360-3763-442f-8b03-f2c35e742ad0,204,1,00:04:18.534,4,18,Clearance,9,Spain,Regular Play,England,John Stones,Right Center Back,"[8.6, 44.8]",0.0,True,['3d00c9d5-56c4-4ef5-a13c-5d7f153c2b23'],3943043,,Right Foot,772,768,3244,True,True,,,,
34cc0f10-133e-4f26-ad52-816ec020aa13,208,1,00:04:49.276,4,49,Clearance,10,Spain,From Corner,England,Jude Bellingham,Left Wing,"[3.8, 45.7]",0.0,True,"['107debb5-6e10-4e79-a8d1-689ad8fb2cbb', '36830cf6-c74f-44b6-9969-b771e43c291a']",3943043,True,Head,772,768,30714,,,True,,,
bb21af29-8060-4e62-a372-df9f9fe19bf5,209,1,00:04:50.673,4,50,Clearance,10,Spain,From Corner,England,Phil Foden,Center Attacking Midfield,"[15.2, 52.7]",0.0,True,,3943043,,Left Foot,772,768,4354,,,,True,,
d52933b4-e027-4a9e-8d9c-c3715e1e5588,530,1,00:13:52.733,13,52,Clearance,24,Spain,Regular Play,England,Marc Guehi,Left Center Back,"[12.4, 42.4]",0.0,True,['877b6bed-f897-4121-b50e-4dce5918b84b'],3943043,,Left Foot,772,768,34526,,,,True,,
c3f1edf5-cee9-4c30-9ac7-ba1eef1574e0,559,1,00:14:43.997,14,43,Clearance,26,England,From Throw In,Spain,Aymeric Laporte,Left Center Back,"[4.0, 35.1]",0.0,True,['1025b0c4-5978-4a99-a758-40aedaf1c079'],3943043,,Left Foot,768,772,4353,True,,,True,,
c9bf1d36-c137-4590-8490-c69e96c4cd0f,561,1,00:15:19.845,15,19,Clearance,27,England,From Corner,Spain,Álvaro Borja Morata Martín,Center Forward,"[7.8, 34.2]",0.0,True,['2f30d168-65fd-40ac-a01e-be72463fc750'],3943043,,Right Foot,768,772,3477,,True,,,,
41acd6e1-5fcf-4ed7-ae58-5711fa701179,620,1,00:16:29.081,16,29,Clearance,27,England,From Corner,Spain,Marc Cucurella Saseta,Left Back,"[8.4, 37.7]",0.0,True,,3943043,,Right Foot,768,772,17620,,True,,,,
3e8dbc6b-88aa-42a1-a9ff-1d1bc9c391f2,699,1,00:18:05.627,18,5,Clearance,29,Spain,From Throw In,England,Luke Shaw,Left Back,"[18.3, 39.5]",0.0,True,['5102c794-b247-4630-86b2-651874222579'],3943043,,Right Foot,772,768,3382,True,True,,,,
39c82a64-dba0-4f89-b3a3-335328ab1822,906,1,00:23:15.581,23,15,Clearance,39,Spain,From Corner,England,John Stones,Right Center Back,"[8.5, 40.8]",0.0,True,['71399bf8-f1e2-4549-aab4-0a0b2ec617e1'],3943043,True,Head,772,768,3244,,,,,,
9752ea7c-143b-4cf5-aa6b-fe293c70c36f,939,1,00:24:20.180,24,20,Clearance,40,England,From Free Kick,Spain,Marc Cucurella Saseta,Left Back,"[14.0, 38.7]",0.0,True,['140978ce-781a-4d6e-911b-c74ccf1873eb'],3943043,,Right Foot,768,772,17620,,True,,,,
18984804-bd75-474b-a5e8-6a69508f660a,955,1,00:24:33.458,24,33,Clearance,42,England,Regular Play,Spain,Marc Cucurella Saseta,Left Back,"[19.9, 11.3]",0.0,True,,3943043,,Left Foot,768,772,17620,,,,True,,
3d3fcf2d-6eeb-4866-9e9b-cc2f2d464161,1038,1,00:27:17.330,27,17,Clearance,44,Spain,From Throw In,England,Marc Guehi,Left Center Back,"[11.6, 35.7]",0.0,True,['0cc5e793-b6c5-4df7-b7ba-a7419b123183'],3943043,,Right Foot,772,768,34526,,True,,,,
a3c60940-0013-498e-9582-7a4584f92825,1089,1,00:28:30.598,28,30,Clearance,46,England,From Keeper,Spain,Robin Aime Robert Le Normand,Right Center Back,"[33.1, 63.2]",0.0,True,"['125daa1e-d332-4cbf-81af-d5d379e540b6', '1d169030-7b0c-4bf5-a36f-18c2feefd537']",3943043,True,Head,768,772,22128,,,True,,,
3f52c006-66ac-4ed2-9762-2cc41e496b57,1262,1,00:34:07.734,34,7,Clearance,57,Spain,From Corner,England,Marc Guehi,Left Center Back,"[8.3, 45.8]",0.0,True,['8faaa356-580f-4c39-b965-feaad5d02333'],3943043,,Left Foot,772,768,34526,True,,,True,,
30332ebb-c378-4ed8-a3ee-4e0daf985c49,1383,1,00:37:27.274,37,27,Clearance,60,Spain,Regular Play,England,Luke Shaw,Left Back,"[16.1, 22.0]",0.0,True,['4b01395f-f73a-44c2-963c-fed4a8f5a869'],3943043,True,Head,772,768,3382,,,,,,
6fd1b066-65aa-4bdb-a4e2-54521f9a5447,1389,1,00:37:36.354,37,36,Clearance,60,Spain,Regular Play,England,Luke Shaw,Left Back,"[13.2, 22.2]",0.0,True,['0d579761-03a6-4355-9e60-f0c8e116f333'],3943043,,Left Foot,772,768,3382,,,,True,,
1c9cf607-e53b-4cac-9d34-fb189a4268ad,1495,1,00:39:35.384,39,35,Clearance,63,England,Regular Play,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[21.9, 49.1]",0.0,True,,3943043,,Left Foot,768,772,6765,,,,True,,
0fadfe1e-77f3-4c14-9579-01f9d12e8a8e,1638,1,00:42:24.408,42,24,Clearance,69,Spain,Regular Play,England,John Stones,Right Center Back,"[3.6, 45.6]",0.0,True,,3943043,,Left Foot,772,768,3244,,,,True,,
80d828b8-2dc5-40c0-ba10-93e671627f6f,1645,1,00:43:00.930,43,0,Clearance,70,Spain,From Corner,England,Kyle Walker,Right Back,"[5.2, 41.4]",0.0,True,"['a1b673c1-5577-40ad-8bea-d4902dddb9ef', 'd4f514ea-66e2-498a-80b8-1ba0567c9e82']",3943043,True,Head,772,768,3205,,,True,,,
58cc6336-e4fb-4910-b45f-60d781d945bb,1684,1,00:45:41.322,45,41,Clearance,75,England,From Free Kick,Spain,Daniel Carvajal Ramos,Right Back,"[9.0, 42.7]",0.0,True,"['ce9d3bc7-b7fc-4eae-856c-5f748e2fc3c7', 'd9e9f88d-311e-4110-bf47-cd4b5ff9f2de']",3943043,True,Head,768,772,5721,,,True,,,
fedcde25-2286-4786-a07a-2fe2cb4fa3e8,2133,2,00:09:59.116,54,59,Clearance,92,Spain,From Throw In,England,John Stones,Right Center Back,"[4.2, 44.3]",0.0,True,,3943043,,Left Foot,772,768,3244,,,,True,,
7cb5da0c-2b33-42e2-a734-7d585c9be6fd,2345,2,00:14:37.188,59,37,Clearance,98,England,Regular Play,Spain,Daniel Carvajal Ramos,Right Back,"[9.3, 33.6]",0.0,True,,3943043,,Right Foot,768,772,5721,,True,,,,
c6fe46c6-98bf-4cc9-ba55-d479dd0a57c0,2353,2,00:14:43.426,59,43,Clearance,98,England,Regular Play,Spain,Marc Cucurella Saseta,Left Back,"[17.9, 12.8]",0.0,True,,3943043,,Left Foot,768,772,17620,,,,True,,
820914b0-5544-4cf0-a7b1-ab5114d58b74,2439,2,00:17:43.765,62,43,Clearance,100,England,From Free Kick,Spain,Aymeric Laporte,Left Center Back,"[10.1, 33.3]",0.0,True,['6471de7a-3d85-46a0-b934-78fc0c55a58b'],3943043,True,Head,768,772,4353,,,,,,
9bd9842f-6535-4d57-b48d-1d8b6b2bd1ae,2441,2,00:17:46.006,62,46,Clearance,100,England,From Free Kick,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,"[20.9, 16.0]",0.0,True,['6b89d9e0-4704-454b-b4ee-ffc807c2ad9e'],3943043,True,Head,768,772,316046,,,True,,,
3449eec8-3ed2-467b-9496-1a2a6c453a0c,2566,2,00:23:10.777,68,10,Clearance,109,Spain,Regular Play,England,John Stones,Right Center Back,"[11.7, 44.5]",0.0,True,['8cc6aaba-4a09-4727-ae06-d0723b884211'],3943043,True,Head,772,768,3244,True,,,,,
57fa060c-8d5f-4ff8-a13e-9761c8d3dba3,2569,2,00:23:45.199,68,45,Clearance,110,Spain,From Corner,England,Luke Shaw,Left Back,"[8.1, 41.3]",0.0,True,,3943043,True,Head,772,768,3382,,,,,,
24d82613-1a9b-4646-8b7a-0079467b8d69,2584,2,00:24:02.492,69,2,Clearance,110,Spain,From Corner,England,Marc Guehi,Left Center Back,"[7.2, 47.1]",0.0,True,"['0f6a0617-de3d-4ef7-8c20-f08d78db37d4', 'd0b57552-1027-484a-9fa3-c6fb9c18538d']",3943043,True,Head,772,768,34526,,,True,,,
f3d35ff1-21b5-41a0-8b8f-bf4c6bba5942,2585,2,00:24:04.571,69,4,Clearance,110,Spain,From Corner,England,Kobbie Mainoo,Right Defensive Midfield,"[14.0, 52.3]",0.0,True,,3943043,True,Head,772,768,99174,,,,,,
785459cb-64aa-4d0b-87e0-b69ae592c3b2,2605,2,00:25:02.188,70,2,Clearance,111,England,From Goal Kick,Spain,Aymeric Laporte,Left Center Back,"[16.4, 23.9]",0.0,True,['5a76ccb1-4433-41e8-a21d-db2bb9cf4259'],3943043,,Left Foot,768,772,4353,,,,True,,
e9f43880-4f08-4b77-ace7-6f0b1659ccd3,2769,2,00:29:14.333,74,14,Clearance,120,England,Regular Play,Spain,Aymeric Laporte,Left Center Back,"[8.1, 34.5]",0.0,True,['243cca9a-c2ca-47aa-9328-66569b02175b'],3943043,,Right Foot,768,772,4353,True,True,,,,
ac208b61-9b55-4cfe-a97d-a8a2730d01a4,2894,2,00:32:31.746,77,31,Clearance,123,Spain,From Goal Kick,England,Kyle Walker,Right Back,"[7.8, 47.7]",0.0,True,,3943043,True,Head,772,768,3205,,,,,,
a758f6ea-cc9a-47dd-8eef-bad036c11723,2898,2,00:32:40.317,77,40,Clearance,123,Spain,From Goal Kick,England,John Stones,Right Center Back,"[6.2, 46.5]",0.0,True,"['2f5cc0c2-51c4-4c7d-8a83-71a3daf6ece1', '30618ef7-b139-469f-9bab-1c3674ec437e']",3943043,True,Head,772,768,3244,True,,True,,,
bd6fb269-298c-4163-b919-96b4ef631174,2900,2,00:33:18.608,78,18,Clearance,124,Spain,From Corner,England,Jude Bellingham,Right Defensive Midfield,"[8.0, 44.8]",0.0,True,['25606e94-5d6d-4f07-b2a5-a95d1542034e'],3943043,True,Head,772,768,30714,,,,,,
38ad5439-cdcc-4573-89a5-d5d572a26054,2904,2,00:33:23.106,78,23,Clearance,124,Spain,From Corner,England,Cole Palmer,Center Attacking Midfield,"[15.3, 34.5]",0.0,True,['76cf93bc-4749-427f-9c3b-c1dcb69f8deb'],3943043,,Left Foot,772,768,39461,True,,,True,,
0b134d50-24aa-4634-b0f8-02a19dbeeb33,3013,2,00:36:15.274,81,15,Clearance,129,Spain,Regular Play,England,Marc Guehi,Left Center Back,"[14.2, 38.5]",0.0,True,,3943043,,Left Foot,772,768,34526,True,,,True,,
38871799-1c19-465c-954e-fa34b5bd4c41,3151,2,00:39:35.212,84,35,Clearance,134,Spain,From Corner,England,John Stones,Right Center Back,"[4.0, 40.2]",0.0,True,['83423bd8-51ce-4afd-8e4b-0c1224ab24bc'],3943043,True,Head,772,768,3244,,,,,,
018118b1-1be0-47c7-8438-492c8f3e22c4,3152,2,00:39:36.930,84,36,Clearance,134,Spain,From Corner,England,Bukayo Saka,Right Wing,"[12.8, 20.7]",0.0,True,,3943043,,Right Foot,772,768,22084,,True,,,,
72d5272b-044b-4760-9b02-2d78b5a6d5f6,3244,2,00:42:59.439,87,59,Clearance,137,England,From Kick Off,Spain,José Ignacio Fernández Iglesias,Right Center Back,"[10.0, 40.8]",0.0,True,,3943043,,Right Foot,768,772,5202,True,True,,,,
