id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress
ae154c6a-f775-4b23-b059-052bcb6d4732,89,1,00:01:44.584,1,44,Dribbled Past,5,England,From Free Kick,Netherlands,Cody Mathès Gakpo,Left Wing,"[72.8, 20.7]",0.0,"['1c713192-2ef3-4d3e-9afe-9e009e037dc8', '238f57d8-e404-477e-af41-a07675992d3c']",3942819,768,941,20750,
0364db83-9add-4f76-9d8b-eaf22c0f076c,2129,2,00:10:38.681,55,38,Dribbled Past,71,Netherlands,Regular Play,England,Harry Kane,Center Forward,"[93.5, 55.1]",0.0,"['331610ef-3770-4aca-8a3f-658727c8d3a4', 'b06b244c-bb7d-4a23-ba7e-eb18dbf1beaf']",3942819,941,768,10955,True
40764e2d-128a-4586-b538-e27f1cee7b8c,3417,2,00:48:19.779,93,19,Dribbled Past,110,Netherlands,From Kick Off,Netherlands,Joey Veerman,Center Attacking Midfield,"[77.5, 32.2]",0.0,"['3910d792-afef-433c-bb64-2401cc96fc75', '66bf7346-e0b0-4704-b99b-8e871a795011', '938c7ea5-b7a1-4f90-80eb-3594b45f95c7']",3942819,941,941,21633,True
2619bf6a-e71a-4bf3-8702-fa4080dac20a,357,1,00:07:15.183,7,15,Dribbled Past,13,England,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,"[112.6, 23.4]",0.0,"['2fd324ef-d06b-4176-90d1-ffdc0503bc96', '51203b90-78ec-4e41-9851-bd1ab821b212']",3943043,768,772,6655,True
015c81c5-89b3-421c-b0fb-8ac584344dfb,649,1,00:16:54.951,16,54,Dribbled Past,27,England,From Corner,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[20.6, 33.6]",0.0,"['b2ac76bc-141b-4165-9d88-cf8a4604f719', 'd35c858d-313f-491c-9215-6aca98c1fa96']",3943043,768,772,6765,
6b092b89-fce7-43c2-ac4d-09a3c9cc263d,930,1,00:24:15.663,24,15,Dribbled Past,40,England,From Free Kick,Spain,Daniel Carvajal Ramos,Right Back,"[15.8, 60.1]",0.0,"['730b5867-fe48-4e69-bc38-ccf4030e90f8', '83b5ffd5-4689-48ea-a581-8696db7fa61d', 'c163462b-fc02-4834-89b4-6b24b21eef9d']",3943043,768,772,5721,
d5939001-1da7-4282-ae80-0f0c45cc4a0c,1100,1,00:28:49.388,28,49,Dribbled Past,47,Spain,From Throw In,England,Jude Bellingham,Left Wing,"[105.9, 5.7]",0.0,"['24b56be9-113d-4bd7-8f8d-5b486f64dc05', 'be84be7e-54ba-4846-855c-d8a145af7e92']",3943043,772,768,30714,
76aaf102-0562-40f3-9c52-1c6599a14ad0,1331,1,00:35:54.537,35,54,Dribbled Past,58,Spain,From Corner,England,Kyle Walker,Right Back,"[16.3, 73.9]",0.0,"['13c172d3-e22e-4244-95f8-4ffca5f11e5b', 'ce9870f5-9d64-4111-8266-d873159580fa']",3943043,772,768,3205,
6883c0f6-7642-492d-981c-70e167e88dc5,1393,1,00:37:38.903,37,38,Dribbled Past,60,Spain,Regular Play,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[87.3, 60.5]",0.0,"['4ea2b146-9c75-4777-9de7-54d20b073f60', 'f10524ef-ad5a-4815-bb2a-5f65f4cf19c9']",3943043,772,772,6765,True
08b94b0b-c68c-4b71-a5fb-400a93a43be0,1875,2,00:04:17.993,49,17,Dribbled Past,85,Spain,Regular Play,England,Jude Bellingham,Left Wing,"[67.5, 9.8]",0.0,"['630e7a58-2e48-4193-a014-013c1f72bf07', '88eefdf0-cbee-4b78-9206-94baaa9be466', 'e64fb2a7-8822-4f95-abc6-d78e56f6dd0c']",3943043,772,768,30714,True
