id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,counterpress,related_events,match_id,possession_team_id,team_id,player_id,foul_committed_advantage,foul_committed_penalty,foul_committed_card,foul_committed_offensive,foul_committed_type,under_pressure,off_camera
53d83929-1abe-4d4f-96f8-99ba06919bd3,21,1,00:00:16.744,0,16,Foul Committed,3,Netherlands,Regular Play,England,Kyle Walker,Right Center Back,"[69.6, 50.8]",0.0,True,['1406ac75-5f2b-4666-a35d-ffd3a8750368'],3942819,941,768,3205,,,,,,,
ae5ff032-2d77-403f-b730-96cef48b53e8,152,1,00:02:42.372,2,42,Foul Committed,5,England,From Free Kick,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[49.4, 55.8]",0.0,,['8fb4c3fd-f9c7-4d45-be2f-65be96b64670'],3942819,768,941,15503,,,,,,,
62dfea84-7b0a-4daf-a597-fca1fc5cbdef,277,1,00:05:37.408,5,37,Foul Committed,10,England,Regular Play,Netherlands,Virgil van Dijk,Left Center Back,"[31.5, 33.1]",0.0,True,"['43429831-ebc3-4197-8a51-2cf256fd7922', '91a666e3-8adb-4f54-8599-9b81ebdc6920', 'edf420e7-9a5f-4942-9ffc-75c797d723d1']",3942819,768,941,3669,True,,,,,,
2c17a8b8-1e01-4816-84e2-20758f1ae35b,384,1,00:08:30.432,8,30,Foul Committed,12,England,From Kick Off,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[29.1, 61.4]",0.0,,['c16f53c8-0968-4379-9aa6-ffe5ffec6b59'],3942819,768,941,15503,,,,,,,
f41ac581-d0dd-4ae1-b742-3b8a581a9aae,399,1,00:10:44.628,10,44,Foul Committed,13,England,From Free Kick,Netherlands,Cody Mathès Gakpo,Left Wing,"[35.7, 33.2]",0.0,,['9e4cf761-87ec-43d9-939f-3f9fbf451b37'],3942819,768,941,20750,,,,,,,
3c32bb56-aae3-4740-a9fb-9e0e45e5819c,503,1,00:13:43.553,13,43,Foul Committed,18,England,From Throw In,Netherlands,Denzel Dumfries,Right Back,"[12.5, 45.8]",0.0,,['93b65573-62db-4500-9657-51d525e06e78'],3942819,768,941,8125,,True,Yellow Card,,,,
7adead1c-6924-4b82-ba20-3f063bf18d25,1091,1,00:32:38.665,32,38,Foul Committed,38,England,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[57.4, 45.8]",0.0,,"['d03053be-78f2-41fe-86cf-92448df47efc', 'f0585d2d-7109-4bbf-9bf8-702a7009381b']",3942819,768,941,21582,True,,,,,,
a56ed953-bf42-4716-b918-6e345f1eca47,1752,2,00:00:40.966,45,40,Foul Committed,52,England,Regular Play,Netherlands,Wout Weghorst,Center Forward,"[71.4, 13.5]",0.0,,['72f225af-6c4b-439a-97e0-239e21b943b4'],3942819,768,941,7829,,,,,,,
358b7dc7-0543-4725-b175-0377186f2e21,1842,2,00:03:38.100,48,38,Foul Committed,58,Netherlands,Regular Play,England,Luke Shaw,Left Wing Back,"[67.5, 24.1]",0.0,,"['20570213-d424-4058-bd49-2683ef7b9b6e', '7113e946-72bf-462e-81c1-ef7a050d30c3']",3942819,941,768,3382,,,,,,,
27045b12-a49d-429b-9922-252a0ea1c542,2045,2,00:08:03.808,53,3,Foul Committed,66,Netherlands,Regular Play,England,Declan Rice,Left Defensive Midfield,"[72.4, 43.3]",0.0,True,"['8d7463c8-a899-4852-9339-bead8f9eaa86', 'fe9726aa-0751-42c6-9aea-8ca7ab82f501']",3942819,941,768,3943,True,,,,,,
4a4c55ac-dbbe-4fdf-be89-16e81fa9a91b,2420,2,00:16:36.183,61,36,Foul Committed,78,Netherlands,Regular Play,England,Phil Foden,Right Attacking Midfield,"[98.3, 7.4]",0.0,True,"['91fe7682-3c6e-40e1-accb-0211f66ff11d', 'bc36a6c3-ae5c-4457-bb35-3421f5f3127c']",3942819,941,768,4354,,,,,,,
bbbc3903-a153-4b4f-8b8a-6d393fd4daf3,2486,2,00:18:10.512,63,10,Foul Committed,81,Netherlands,From Throw In,England,Marc Guehi,Left Center Back,"[40.3, 10.2]",0.0,,"['18f442b9-ff80-4361-bf7e-4815c0bd3fd6', 'bb17c024-f04d-4afe-8ee1-77b8a7f13060']",3942819,941,768,34526,,,,,,,
