id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,duration,related_events,match_id,possession_team_id,team_id,under_pressure
0a3f3834-04bf-4b82-ab4b-997b5d4d8835,1696,1,00:48:10.217,48,10,Half End,50,England,From Goal Kick,England,0.0,['a20e2484-d83b-4dc6-887a-1ac3a57537bc'],3942819,768,768,
a20e2484-d83b-4dc6-887a-1ac3a57537bc,1697,1,00:48:10.217,48,10,Half End,50,England,From Goal Kick,Netherlands,0.0,['0a3f3834-04bf-4b82-ab4b-997b5d4d8835'],3942819,768,941,
242c8b5f-7d84-47ee-8ddf-fb70decaf58e,3484,2,00:50:09.942,95,9,Half End,114,England,From Free Kick,Netherlands,0.0,['7b703bd3-c494-4396-896d-f1b9d7603e0d'],3942819,768,941,
7b703bd3-c494-4396-896d-f1b9d7603e0d,3485,2,00:50:09.942,95,9,Half End,114,England,From Free Kick,England,0.0,['242c8b5f-7d84-47ee-8ddf-fb70decaf58e'],3942819,768,768,
b88b0f57-3372-46c7-9d1d-c00f83b23e3d,1704,1,00:47:02.704,47,2,Half End,79,Spain,Regular Play,England,0.0,['e76ece8f-7d16-4e22-a016-5b85bc12a67f'],3943043,772,768,
e76ece8f-7d16-4e22-a016-5b85bc12a67f,1705,1,00:47:02.704,47,2,Half End,79,Spain,Regular Play,Spain,0.0,['b88b0f57-3372-46c7-9d1d-c00f83b23e3d'],3943043,772,772,
4a61389b-a4f3-4fd3-ab94-940a9f80f9ce,3311,2,00:49:01.689,94,1,Half End,147,Spain,From Free Kick,Spain,0.0,['ec0c7928-6b5b-4ebc-8cad-405e35174bfa'],3943043,772,772,
ec0c7928-6b5b-4ebc-8cad-405e35174bfa,3312,2,00:49:01.689,94,1,Half End,147,Spain,From Free Kick,England,0.0,['4a61389b-a4f3-4fd3-ab94-940a9f80f9ce'],3943043,772,768,
37d7a0ed-563a-4b2f-bd28-d1a8383c3ab7,1556,1,00:47:02.720,47,2,Half End,68,Spain,From Free Kick,Spain,0.0,['dada85f0-e5db-452f-929c-efbf5d9b4c83'],3942752,772,772,
dada85f0-e5db-452f-929c-efbf5d9b4c83,1557,1,00:47:02.720,47,2,Half End,68,Spain,From Free Kick,France,0.0,['37d7a0ed-563a-4b2f-bd28-d1a8383c3ab7'],3942752,772,771,
ef80402c-7a34-4bb9-9f07-88391ede0e76,3327,2,00:50:56.847,95,56,Half End,152,Spain,From Free Kick,Spain,0.0,['8b2b3591-ef41-4153-a963-7d62d907724d'],3942752,772,772,
8b2b3591-ef41-4153-a963-7d62d907724d,3328,2,00:50:56.847,95,56,Half End,152,Spain,From Free Kick,France,0.0,['ef80402c-7a34-4bb9-9f07-88391ede0e76'],3942752,772,771,
