id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,team_id,player_id,injury_stoppage_in_chain,under_pressure,related_events
43024b2c-4928-4677-846e-86916051bf51,386,1,00:09:29.293,9,29,Injury Stoppage,12,England,From Kick Off,England,Jude Bellingham,Left Attacking Midfield,0.0,3942819,768,768,30714,,,
338082f8-868e-4dc8-95ed-1df47e97d52a,697,1,00:23:15.644,23,15,Injury Stoppage,28,England,From Throw In,Netherlands,Bart Verbruggen,Goalkeeper,0.0,3942819,768,941,37274,,,
c6883742-a1a1-4097-8163-0b8615705ed9,698,1,00:23:17.136,23,17,Injury Stoppage,28,England,From Throw In,England,Jordan Pickford,Goalkeeper,0.0,3942819,768,768,3468,True,,
d012c82f-6460-4044-9769-bb93b10acb86,1099,1,00:33:04.948,33,4,Injury Stoppage,38,England,Regular Play,Netherlands,Memphis Depay,Center Forward,0.0,3942819,768,941,2988,True,,
ff820bbe-80b6-49b1-8c7c-7c1c3f596414,1100,1,00:33:10.525,33,10,Injury Stoppage,38,England,Regular Play,England,Jordan Pickford,Goalkeeper,0.0,3942819,768,768,3468,,,
1cea0379-ef86-4905-af03-a16d7f5f70d8,493,1,00:11:39.517,11,39,Injury Stoppage,21,Spain,From Free Kick,England,Kyle Walker,Right Back,0.0,3943043,772,768,3205,,,
b150edae-22bd-45d7-af6e-1ad84d9f4b95,965,1,00:25:35.610,25,35,Injury Stoppage,42,England,Regular Play,England,Kobbie Mainoo,Right Defensive Midfield,0.0,3943043,768,768,99174,,,
7c9bc870-eb19-46e9-8607-914e23b6e722,966,1,00:25:38.274,25,38,Injury Stoppage,42,England,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,0.0,3943043,768,772,6655,,,
4f272905-f2c6-43a9-9c37-ac6716796a10,1168,1,00:29:59.570,29,59,Injury Stoppage,51,England,Regular Play,England,Declan Rice,Left Defensive Midfield,0.0,3943043,768,768,3943,,,
92db3206-ffef-47e5-9667-c191d4940629,1208,1,00:32:22.006,32,22,Injury Stoppage,54,Spain,Regular Play,England,Phil Foden,Center Attacking Midfield,0.0,3943043,772,768,4354,,,
cb2abef4-8109-4f29-9a15-508e611b74c0,1209,1,00:32:23.647,32,23,Injury Stoppage,54,Spain,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,0.0,3943043,772,772,6655,True,,
