id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
8d3f1dc3-e1f2-4ce9-8035-2195110af1aa,165,1,00:03:14.341,3,14,Interception,6,England,From Free Kick,Netherlands,Xavi Simons,Center Attacking Midfield,"[52.7, 45.8]",0.0,['5869d10b-882f-426d-9d60-249f95028868'],3942819,Lost In Play,768,941,39167,,
93d34a78-b77a-4682-b305-c598db9116f5,488,1,00:13:34.166,13,34,Interception,18,England,From Throw In,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[42.9, 38.2]",0.0,['61544a33-f641-4f33-84af-c9ea7b529d67'],3942819,Lost In Play,768,941,21582,,
295a305b-f9d4-43d1-bae7-f08af1d0f45d,532,1,00:19:27.157,19,27,Interception,22,Netherlands,Regular Play,England,Kyle Walker,Right Center Back,"[46.2, 75.4]",0.0,['220f7813-276f-4ad5-a080-c70226d550eb'],3942819,Lost Out,941,768,3205,,
4914bf33-fa5e-47c6-a906-a5860e0768d6,645,1,00:22:12.320,22,12,Interception,27,England,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[40.9, 24.5]",0.0,['cc97baf8-2cc4-4845-b46c-4e0420ad64f2'],3942819,Lost In Play,768,941,21582,,
fb6a6af9-f9c3-4491-9c9d-d995b751e65b,688,1,00:23:04.071,23,4,Interception,28,England,From Throw In,Netherlands,Stefan de Vrij,Right Center Back,"[9.4, 44.4]",0.0,['a8956ec9-32b8-4ed8-a0d8-dcbde6269c11'],3942819,Lost In Play,768,941,7787,,
cd1f93ad-5fd1-4c3f-bd11-114697d6cd9f,773,1,00:24:43.800,24,43,Interception,30,England,Other,Netherlands,Donyell Malen,Right Wing,"[26.3, 45.8]",0.0,['bd1446d6-4ba8-4596-ab14-96e3114f126d'],3942819,Success In Play,768,941,15582,,
6c2c71b0-8d70-49a4-b8df-1eb107fd74ac,936,1,00:28:07.122,28,7,Interception,34,Netherlands,From Counter,Netherlands,Stefan de Vrij,Right Center Back,"[40.1, 68.0]",0.0,['fcfa7dc4-c094-43f4-a133-bab7cb4a4b67'],3942819,Won,941,941,7787,True,
78c81080-a04c-4ad1-9217-dbd82fb7a499,1029,1,00:30:53.004,30,53,Interception,36,England,From Goal Kick,England,Kobbie Mainoo,Right Defensive Midfield,"[91.4, 45.5]",0.0,['708736f8-cd94-4d40-9f33-8595c0fa418a'],3942819,Success In Play,768,768,99174,True,
b56530c4-663e-4d2e-9496-277fb7b8305c,1174,1,00:36:44.376,36,44,Interception,41,Netherlands,From Throw In,England,Kobbie Mainoo,Right Defensive Midfield,"[23.2, 33.7]",0.0,['37d5230d-f137-4550-a652-995733fea949'],3942819,Success In Play,941,768,99174,,
68c489bc-4556-484c-9577-6f012ec0579e,1454,1,00:43:04.633,43,4,Interception,48,England,From Throw In,Netherlands,Virgil van Dijk,Left Center Back,"[12.8, 44.1]",0.0,['a2e21456-0633-48e1-92b8-b5363ed13fc4'],3942819,Lost In Play,768,941,3669,,
432bd6d3-f4e6-45c9-bfc2-8fe37dbda67a,1490,1,00:43:46.456,43,46,Interception,48,England,From Throw In,Netherlands,Joey Veerman,Center Attacking Midfield,"[20.7, 47.2]",0.0,['b9a4115b-c47b-4b00-821b-39f54c24f3f2'],3942819,Lost In Play,768,941,21633,,
26da9a40-15c4-42fb-90fd-cc2c1c075968,2620,2,00:24:54.408,69,54,Interception,89,Netherlands,From Goal Kick,England,Declan Rice,Left Defensive Midfield,"[76.7, 22.4]",0.0,['49fdccca-5e4b-4628-9cd0-b3e0135a82bb'],3942819,Won,941,768,3943,,
