id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,related_events,match_id,possession_team_id,team_id,player_id,player_off_permanent,off_camera
85a24f53-0e56-455c-8bd5-b5cacd19cab7,387,1,00:09:29.875,9,29,Player Off,12,England,From Kick Off,England,Jude Bellingham,Left Attacking Midfield,0.0,['315babfa-7fc9-42e7-ab06-f3edf5ae846b'],3942819,768,768,30714,,
90c02223-b40e-4ae9-85e6-8433f59e3367,2970,2,00:39:54.173,84,54,Player Off,132,France,Regular Play,Spain,Aymeric Laporte,Left Center Back,0.0,['3268917e-cb8c-4f2f-9510-c13b1c824769'],3942752,771,772,4353,,
2b720e3a-b7b3-4554-ab84-1698334ba1b9,685,1,00:16:04.413,16,4,Player Off,22,Netherlands,Regular Play,Turkey,Samet Akaydin,Center Back,0.0,['5d269ae6-196e-4d08-9432-2bdb35afeb85'],3942382,941,909,133305,,
3e93ea9e-1011-49d3-af1a-dd2deb44cc91,2239,2,00:13:27.553,58,27,Player Off,82,Turkey,From Goal Kick,Netherlands,Jerdy Schouten,Right Defensive Midfield,0.0,['5b686737-5a6c-44c7-8401-bb7ea80c9b63'],3942382,909,941,15503,,
43a04bb8-7e2a-4801-bdc7-1be7207e69ce,2453,2,00:11:08.406,56,8,Player Off,85,Portugal,Regular Play,France,Kylian Mbappé Lottin,Left Center Forward,0.0,['8abd8ff5-e50c-436e-8fee-32266cb9cd9b'],3942349,780,771,3009,,
5343af87-e553-4b04-82d1-6d3c6db67ee5,2392,2,00:25:09.181,70,9,Player Off,119,Netherlands,From Free Kick,Netherlands,Donyell Malen,Right Wing,0.0,['5be541d1-eaf7-41e1-aa7c-5cabd0771fda'],3930180,941,941,15582,,
e2e6f188-536d-4b30-b4a1-59928b8e2b4e,3096,2,00:49:08.575,94,8,Player Off,157,Netherlands,From Corner,Austria,Leopold Querfeld,Right Center Back,0.0,['f43f8c0a-ff50-4fd6-8cff-c9932946a2e9'],3930180,941,915,152512,,
e016f1b8-f000-4001-bb3b-5d546bbc6916,436,1,00:08:55.381,8,55,Player Off,11,Denmark,From Keeper,England,Kyle Walker,Right Back,0.0,['e1335d77-89bd-4e69-a971-7140319e997e'],3930171,776,768,3205,,
fc47379f-350e-4ed5-a0ae-7ad078fb225a,131,1,00:04:41.125,4,41,Player Off,10,Spain,Regular Play,Spain,Pedro González López,Right Center Midfield,0.0,['086fd373-02a9-4aa7-8d00-73333e828865'],3942226,772,772,30486,,
239dfeb9-db35-43fc-a1ad-817d9ec66967,2285,2,00:11:03.225,56,3,Player Off,94,Belgium,From Corner,Ukraine,Vitalii Mykolenko,Left Wing Back,0.0,['1753a3bf-bc2d-4102-81de-8e707238671a'],3938645,782,911,20827,,
f285b49d-828b-48fb-ad7b-cf5c72544001,2735,2,00:22:46.287,67,46,Player Off,116,Belgium,Regular Play,Ukraine,Oleksandr Tymchyk,Right Wing Back,0.0,['e514a150-1963-4d42-906b-11dcb8d1ba1c'],3938645,782,911,45863,,
62cc6efd-84a1-4655-a2dc-260a1763be1a,1281,1,00:34:42.175,34,42,Player Off,62,Czech Republic,From Throw In,Czech Republic,Lukáš Provod,Left Center Midfield,0.0,['e473e998-ea25-4b65-b5bf-17aecac5e134'],3930184,912,912,28034,,
cfd43fd7-1bf6-44d9-acc4-22f15c0e8fae,1353,1,00:38:47.996,38,47,Player Off,66,Czech Republic,From Goal Kick,Czech Republic,Vladimír Coufal,Right Wing Back,0.0,['c7ee66e9-fddd-4bb6-ad90-9849970473e5'],3930184,912,912,16570,,
c3fa630f-8484-4f88-b912-706beaceccf6,2020,2,00:17:36.602,62,36,Player Off,102,Czech Republic,Regular Play,Turkey,Samet Akaydin,Right Center Back,0.0,['9788efdc-e3ee-4d48-9fab-ab0b94ded8fb'],3930184,912,909,133305,,
97974bbb-af19-4d9c-ba87-e3116a12a93f,188,1,00:06:06.682,6,6,Player Off,11,Austria,From Corner,Austria,Christoph Baumgartner,Center Attacking Midfield,0.0,['17135f37-577f-4c23-99d7-1a717b42f003'],3941022,915,915,24977,,
ef681438-f40d-42eb-95b7-2a9db86ffe6b,120,1,00:04:08.475,4,8,Player Off,7,Netherlands,Regular Play,Romania,Ianis Hagi,Left Midfield,0.0,['15dcef14-1194-4567-a426-cd5a2f21fb85'],3941021,941,905,28565,,
e46b5fd0-8862-44b8-9107-4bc205f06516,981,1,00:33:28.110,33,28,Player Off,50,Romania,From Free Kick,Romania,Vasile Mogoș,Left Back,0.0,['c9958633-fe96-4bb5-97f6-dc7839accc90'],3941021,905,905,30839,True,
6e9cb0da-78b8-4dbe-a215-0e5347f28305,982,1,00:33:32.023,33,32,Player Off,50,Romania,From Free Kick,Netherlands,Denzel Dumfries,Right Back,0.0,['24b18066-f2ad-4e8e-becb-978e013188ba'],3941021,905,941,8125,,
e98000b7-ce35-417b-9a66-19de0eaf62fa,792,1,00:19:33.049,19,33,Player Off,31,Slovenia,Regular Play,Portugal,Nuno Mendes,Left Back,0.0,['23d46a44-b858-4bc9-9ad4-47d5dc0a906e'],3941020,944,780,41092,,
3198e152-f823-440a-a9d0-c9dc7a9475fc,659,1,00:14:04.751,14,4,Player Off,19,Spain,From Corner,Georgia,Giorgi Kochorashvili,Left Center Midfield,0.0,['16b4a071-7fb6-4186-9012-284597b62985'],3941018,772,2138,41202,,
575e5efe-56dc-433f-8c45-2ff1bc587f01,3257,2,00:31:14.683,76,14,Player Off,116,Spain,Regular Play,Georgia,Georges Mikautadze,Right Center Forward,0.0,['0f09f3e4-4a8b-43ba-8205-70d4768c5660'],3941018,772,2138,33234,,
e512226a-d5e2-4e25-9c69-11374caef906,1068,1,00:26:30.312,26,30,Player Off,33,Slovakia,From Goal Kick,England,Marc Guehi,Left Center Back,0.0,['76226dfc-c9bd-4adb-8779-2c2db2fe62c0'],3941017,908,768,34526,,
47e131f3-ea83-46ad-8867-af9ef8d3aab1,1562,1,00:40:06.376,40,6,Player Off,51,England,From Free Kick,Slovakia,Denis Vavro,Right Center Back,0.0,['39d6a55e-22d5-4079-a01e-26dd777a9ccc'],3941017,768,908,16298,,
c01f98e6-7dd8-4123-9184-a6fbf42d1877,2487,2,00:18:49.855,63,49,Player Off,91,England,Regular Play,England,Kieran Trippier,Left Back,0.0,['eba3959f-e3a5-48c4-94cb-f26e28beda70'],3941017,768,768,3308,,
48941d90-c482-4e38-8059-6dd5586eba2f,2881,2,00:29:21.474,74,21,Player Off,102,Slovakia,Regular Play,Slovakia,Tomáš Suslov,Left Wing,0.0,['59c575b5-f779-4654-8f41-d78724e04a59'],3941017,908,908,35653,,
e6c3cef6-d39d-4da0-8971-030f479db9c7,3343,2,00:34:12.970,79,12,Player Off,133,Serbia,From Free Kick,Serbia,Aleksandar Mitrović,Right Center Forward,0.0,['b49173db-2cb8-4092-8dd8-ea9f75e9885f'],3930182,786,786,4269,,
ae467277-23a2-402d-a56e-c4f79eb3912b,1030,1,00:25:12.900,25,12,Player Off,46,Germany,From Goal Kick,Germany,Kai Havertz,Center Forward,0.0,['8d570912-6afb-4475-a8f6-42163c8d62e6'],3940983,770,770,8966,,
57b0de90-3da6-4fba-ae8f-3d5dc303e878,1031,1,00:25:38.464,25,38,Player Off,46,Germany,From Goal Kick,Denmark,Andreas Christensen,Left Center Back,0.0,['b7f26378-f5cb-494d-8b12-1d543304a4d1'],3940983,770,776,3959,,True
5987d875-3bae-4c36-8c65-ac6bd50bfc52,2165,2,00:12:28.641,57,28,Player Off,95,Denmark,From Throw In,Germany,Robert Andrich,Right Defensive Midfield,0.0,['8a2b180e-0741-415a-a2a8-bbb60ce3a8ab'],3940983,776,770,9195,,
b8d876b5-881a-41cc-ae85-faa6fe4251ff,406,1,00:09:47.517,9,47,Player Off,18,Switzerland,Regular Play,Italy,Nicolò Barella,Left Center Midfield,0.0,['ad0740f4-7783-4f46-af24-c0bd220be6f1'],3940878,773,914,8181,,
